index,Cell type,test,material,time (hr),concentration (ug/ml),viability (%),Hydrodynamic diameter (nm),Zeta potential (mV),mcd,electronegativity,rox,radii,source
,WISH,MTT,Au,48,1.95,146.8208092,36.2,-18.4,0,2.54,1.692,1.35,additional
,WISH,MTT,Au,48,3.9,139.8843931,36.2,-18.4,0,2.54,1.692,1.35,additional
,WISH,MTT,Au,48,7.8,131.7919075,36.2,-18.4,0,2.54,1.692,1.35,additional
,WISH,MTT,Au,48,15.625,113.2947977,36.2,-18.4,0,2.54,1.692,1.35,additional
,WISH,MTT,Au,48,31.25,101.1560694,36.2,-18.4,0,2.54,1.692,1.35,additional
,WISH,MTT,Au,48,62.5,87.28323699,36.2,-18.4,0,2.54,1.692,1.35,additional
,WISH,MTT,Au,48,125,59.53757225,36.2,-18.4,0,2.54,1.692,1.35,additional
,WISH,MTT,Au,48,250,20.23121387,36.2,-18.4,0,2.54,1.692,1.35,additional
,WISH,MTT,Au,48,500,17.34104046,36.2,-18.4,0,2.54,1.692,1.35,additional
,WISH,MTT,Au,48,1000,16.1849711,36.2,-18.4,0,2.54,1.692,1.35,additional
,WISH,MTT,Au,48,2000,15.02890173,36.2,-18.4,0,2.54,1.692,1.35,additional
,MCF-7,MTS,Au,24,0,99.66101695,36.75,-16.93,0,2.54,1.692,1.35,additional
,MCF-7,MTS,Au,24,50,98.03389831,36.75,-16.93,0,2.54,1.692,1.35,additional
,MCF-7,MTS,Au,24,100,93.96610169,36.75,-16.93,0,2.54,1.692,1.35,additional
,MCF-7,MTS,Au,24,200,91.11864407,36.75,-16.93,0,2.54,1.692,1.35,additional
,MCF-7,MTS,Au,24,400,91.52542373,36.75,-16.93,0,2.54,1.692,1.35,additional
,MCF-7,MTS,Au,48,0,100.2033898,36.75,-16.93,0,2.54,1.692,1.35,additional
,MCF-7,MTS,Au,48,50,98.16949153,36.75,-16.93,0,2.54,1.692,1.35,additional
,MCF-7,MTS,Au,48,100,87.59322034,36.75,-16.93,0,2.54,1.692,1.35,additional
,MCF-7,MTS,Au,48,200,86.77966102,36.75,-16.93,0,2.54,1.692,1.35,additional
,MCF-7,MTS,Au,48,400,85.69491525,36.75,-16.93,0,2.54,1.692,1.35,additional
,MCF-7,MTS,Au,72,0,100.3389831,36.75,-16.93,0,2.54,1.692,1.35,additional
,MCF-7,MTS,Au,72,50,78.10169492,36.75,-16.93,0,2.54,1.692,1.35,additional
,MCF-7,MTS,Au,72,100,76.47457627,36.75,-16.93,0,2.54,1.692,1.35,additional
,MCF-7,MTS,Au,72,200,72.81355932,36.75,-16.93,0,2.54,1.692,1.35,additional
,MCF-7,MTS,Au,72,400,70.6440678,36.75,-16.93,0,2.54,1.692,1.35,additional
,VERO,MTS,Au,24,0,100.6369427,36.75,-16.93,0,2.54,1.692,1.35,additional
,VERO,MTS,Au,24,50,101.1464968,36.75,-16.93,0,2.54,1.692,1.35,additional
,VERO,MTS,Au,24,100,98.59872611,36.75,-16.93,0,2.54,1.692,1.35,additional
,VERO,MTS,Au,24,200,96.68789809,36.75,-16.93,0,2.54,1.692,1.35,additional
,VERO,MTS,Au,24,400,96.17834395,36.75,-16.93,0,2.54,1.692,1.35,additional
,VERO,MTS,Au,48,0,100.7643312,36.75,-16.93,0,2.54,1.692,1.35,additional
,VERO,MTS,Au,48,50,96.17834395,36.75,-16.93,0,2.54,1.692,1.35,additional
,VERO,MTS,Au,48,100,98.59872611,36.75,-16.93,0,2.54,1.692,1.35,additional
,VERO,MTS,Au,48,200,96.30573248,36.75,-16.93,0,2.54,1.692,1.35,additional
,VERO,MTS,Au,48,400,94.52229299,36.75,-16.93,0,2.54,1.692,1.35,additional
,VERO,MTS,Au,72,0,100.7643312,36.75,-16.93,0,2.54,1.692,1.35,additional
,VERO,MTS,Au,72,50,96.43312102,36.75,-16.93,0,2.54,1.692,1.35,additional
,VERO,MTS,Au,72,100,96.43312102,36.75,-16.93,0,2.54,1.692,1.35,additional
,VERO,MTS,Au,72,200,93.88535032,36.75,-16.93,0,2.54,1.692,1.35,additional
,VERO,MTS,Au,72,400,90.82802548,36.75,-16.93,0,2.54,1.692,1.35,additional
,CHO-K1,MTT,ZnO,24,1,80,40,14.8,2.272727273,2.545,-0.7618,1.35,additional
,CHO-K1,MTT,ZnO,24,2,75,40,14.8,2.272727273,2.545,-0.7618,1.35,additional
,CHO-K1,MTT,ZnO,24,5,25,40,14.8,2.272727273,2.545,-0.7618,1.35,additional
,CHO-K1,MTT,ZnO,24,10,15,40,14.8,2.272727273,2.545,-0.7618,1.35,additional
,CHO-K1,MTT,ZnO,24,20,8,40,14.8,2.272727273,2.545,-0.7618,1.35,additional
,CHO-K1,MTT,ZnO,24,50,2,40,14.8,2.272727273,2.545,-0.7618,1.35,additional
,CHO-K1,WST-1,ZnO,24,1,80,40,14.8,2.272727273,2.545,-0.7618,1.35,additional
,CHO-K1,WST-1,ZnO,24,2,70,40,14.8,2.272727273,2.545,-0.7618,1.35,additional
,CHO-K1,WST-1,ZnO,24,5,20,40,14.8,2.272727273,2.545,-0.7618,1.35,additional
,CHO-K1,WST-1,ZnO,24,10,18,40,14.8,2.272727273,2.545,-0.7618,1.35,additional
,CHO-K1,WST-1,ZnO,24,20,15,40,14.8,2.272727273,2.545,-0.7618,1.35,additional
,CHO-K1,WST-1,ZnO,24,50,18,40,14.8,2.272727273,2.545,-0.7618,1.35,additional
,CHO-K1,WST-1,ZnO,24,100,15,40,14.8,2.272727273,2.545,-0.7618,1.35,additional
,HepG2,XTT,Ag,12,0.1,98.97540984,80,-15.6,0,1.93,0.7996,1.6,additional
,HepG2,XTT,Ag,12,1,93.85245902,80,-15.6,0,1.93,0.7996,1.6,additional
,HepG2,XTT,Ag,12,10,84.83606557,80,-15.6,0,1.93,0.7996,1.6,additional
,HepG2,XTT,Ag,12,100,60.6557377,80,-15.6,0,1.93,0.7996,1.6,additional
,HepG2,XTT,Ag,24,0.1,90.88114754,80,-15.6,0,1.93,0.7996,1.6,additional
,HepG2,XTT,Ag,24,1,78.48360656,80,-15.6,0,1.93,0.7996,1.6,additional
,HepG2,XTT,Ag,24,10,63.93442623,80,-15.6,0,1.93,0.7996,1.6,additional
,HepG2,XTT,Ag,24,100,53.48360656,80,-15.6,0,1.93,0.7996,1.6,additional
,HepG2,XTT,Ag,48,0.1,85.55327869,80,-15.6,0,1.93,0.7996,1.6,additional
,HepG2,XTT,Ag,48,1,60.04098361,80,-15.6,0,1.93,0.7996,1.6,additional
,HepG2,XTT,Ag,48,10,31.35245902,80,-15.6,0,1.93,0.7996,1.6,additional
,HepG2,XTT,Ag,48,100,13.21721311,80,-15.6,0,1.93,0.7996,1.6,additional
,MCF-7,XTT,Ag,12,0.1,90.61181435,80,-15.6,0,1.93,0.7996,1.6,additional
,MCF-7,XTT,Ag,12,1,78.69198312,80,-15.6,0,1.93,0.7996,1.6,additional
,MCF-7,XTT,Ag,12,10,75.21097046,80,-15.6,0,1.93,0.7996,1.6,additional
,MCF-7,XTT,Ag,12,100,66.87763713,80,-15.6,0,1.93,0.7996,1.6,additional
,MCF-7,XTT,Ag,24,0.1,85.65400844,80,-15.6,0,1.93,0.7996,1.6,additional
,MCF-7,XTT,Ag,24,1,77.84810127,80,-15.6,0,1.93,0.7996,1.6,additional
,MCF-7,XTT,Ag,24,10,60.97046414,80,-15.6,0,1.93,0.7996,1.6,additional
,MCF-7,XTT,Ag,24,100,44.93670886,80,-15.6,0,1.93,0.7996,1.6,additional
,MCF-7,XTT,Ag,48,0.1,63.5021097,80,-15.6,0,1.93,0.7996,1.6,additional
,MCF-7,XTT,Ag,48,1,38.92405063,80,-15.6,0,1.93,0.7996,1.6,additional
,MCF-7,XTT,Ag,48,10,14.87341772,80,-15.6,0,1.93,0.7996,1.6,additional
,MCF-7,XTT,Ag,48,100,1.265822785,80,-15.6,0,1.93,0.7996,1.6,additional
,HepG2,MTT,ZnO,24,5,100.2657807,100,11,2.272727273,2.545,-0.7618,1.35,additional
,HepG2,MTT,ZnO,24,10,90.29900332,100,11,2.272727273,2.545,-0.7618,1.35,additional
,HepG2,MTT,ZnO,24,15,84.11960133,100,11,2.272727273,2.545,-0.7618,1.35,additional
,HepG2,MTT,ZnO,24,20,66.07973422,100,11,2.272727273,2.545,-0.7618,1.35,additional
,HepG2,MTT,ZnO,24,25,51.42857143,100,11,2.272727273,2.545,-0.7618,1.35,additional
,HepG2,MTT,ZnO,24,30,48.43853821,100,11,2.272727273,2.545,-0.7618,1.35,additional
,HepG2,MTT,ZnO,24,35,41.96013289,100,11,2.272727273,2.545,-0.7618,1.35,additional
,HepG2,MTT,ZnO,48,5,99.66777409,100,11,2.272727273,2.545,-0.7618,1.35,additional
,HepG2,MTT,ZnO,48,10,87.20930233,100,11,2.272727273,2.545,-0.7618,1.35,additional
,HepG2,MTT,ZnO,48,15,69.56810631,100,11,2.272727273,2.545,-0.7618,1.35,additional
,HepG2,MTT,ZnO,48,20,58.30564784,100,11,2.272727273,2.545,-0.7618,1.35,additional
,HepG2,MTT,ZnO,48,25,45.84717608,100,11,2.272727273,2.545,-0.7618,1.35,additional
,HepG2,MTT,ZnO,48,30,40.16611296,100,11,2.272727273,2.545,-0.7618,1.35,additional
,HepG2,MTT,ZnO,48,35,29.40199336,100,11,2.272727273,2.545,-0.7618,1.35,additional
,HepG2,CCK-8,ZnO,24,0,99.72222222,223,-20.4,2.272727273,2.545,-0.7618,1.35,additional
,HepG2,CCK-8,ZnO,24,2,101.3888889,223,-20.4,2.272727273,2.545,-0.7618,1.35,additional
,HepG2,CCK-8,ZnO,24,4,101.5277778,223,-20.4,2.272727273,2.545,-0.7618,1.35,additional
,HepG2,CCK-8,ZnO,24,8,97.77777778,223,-20.4,2.272727273,2.545,-0.7618,1.35,additional
,HepG2,CCK-8,ZnO,24,16,99.44444444,223,-20.4,2.272727273,2.545,-0.7618,1.35,additional
,HepG2,CCK-8,ZnO,24,32,18.44,223,-20.4,2.272727273,2.545,-0.7618,1.35,additional
,Caco-2,CCK-8,ZnO,24,0,99.58333333,223,-20.4,2.272727273,2.545,-0.7618,1.35,additional
,Caco-2,CCK-8,ZnO,24,2,101.6666667,223,-20.4,2.272727273,2.545,-0.7618,1.35,additional
,Caco-2,CCK-8,ZnO,24,4,101.5277778,223,-20.4,2.272727273,2.545,-0.7618,1.35,additional
,Caco-2,CCK-8,ZnO,24,8,103.0555556,223,-20.4,2.272727273,2.545,-0.7618,1.35,additional
,Caco-2,CCK-8,ZnO,24,16,102.0833333,223,-20.4,2.272727273,2.545,-0.7618,1.35,additional
,Caco-2,CCK-8,ZnO,24,32,10.77,223,-20.4,2.272727273,2.545,-0.7618,1.35,additional
,Caco-2,CCK-8,ZnO,24,0,99.27272727,255,-7,2.272727273,2.545,-0.7618,1.35,additional
,Caco-2,CCK-8,ZnO,24,8,101.6223776,255,-7,2.272727273,2.545,-0.7618,1.35,additional
,Caco-2,CCK-8,ZnO,24,32,20.95104895,255,-7,2.272727273,2.545,-0.7618,1.35,additional
,HepG2,CCK-8,ZnO,24,0,99.46853147,255,-7,2.272727273,2.545,-0.7618,1.35,additional
,HepG2,CCK-8,ZnO,24,8,95.74825175,255,-7,2.272727273,2.545,-0.7618,1.35,additional
,HepG2,CCK-8,ZnO,24,32,7.244755245,255,-7,2.272727273,2.545,-0.7618,1.35,additional
,Caco-2,NRU,ZnO,24,0,99.46380697,255,-7,2.272727273,2.545,-0.7618,1.35,additional
,Caco-2,NRU,ZnO,24,8,100.4021448,255,-7,2.272727273,2.545,-0.7618,1.35,additional
,Caco-2,NRU,ZnO,24,32,43.35120643,255,-7,2.272727273,2.545,-0.7618,1.35,additional
,HepG2,NRU,ZnO,24,0,99.46380697,255,-7,2.272727273,2.545,-0.7618,1.35,additional
,HepG2,NRU,ZnO,24,8,97.39946381,255,-7,2.272727273,2.545,-0.7618,1.35,additional
,HepG2,NRU,ZnO,24,32,11.07238606,255,-7,2.272727273,2.545,-0.7618,1.35,additional
,HepG2,MTT,ZnO,6,0,99.81343284,267,-12,2.272727273,2.545,-0.7618,1.35,additional
,HepG2,MTT,ZnO,12,0,99.25373134,267,-12,2.272727273,2.545,-0.7618,1.35,additional
,HepG2,MTT,ZnO,24,0,99.44029851,267,-12,2.272727273,2.545,-0.7618,1.35,additional
,HepG2,MTT,ZnO,6,0.8,97.3880597,267,-12,2.272727273,2.545,-0.7618,1.35,additional
,HepG2,MTT,ZnO,12,0.8,95.70895522,267,-12,2.272727273,2.545,-0.7618,1.35,additional
,HepG2,MTT,ZnO,24,0.8,96.26865672,267,-12,2.272727273,2.545,-0.7618,1.35,additional
,HepG2,MTT,ZnO,6,2,97.20149254,267,-12,2.272727273,2.545,-0.7618,1.35,additional
,HepG2,MTT,ZnO,12,2,101.3059701,267,-12,2.272727273,2.545,-0.7618,1.35,additional
,HepG2,MTT,ZnO,24,2,91.41791045,267,-12,2.272727273,2.545,-0.7618,1.35,additional
,HepG2,MTT,ZnO,6,8,97.76119403,267,-12,2.272727273,2.545,-0.7618,1.35,additional
,HepG2,MTT,ZnO,12,8,98.69402985,267,-12,2.272727273,2.545,-0.7618,1.35,additional
