,Unnamed: 0,material,CID,Canonical_smiles,Valance_electron,amw,lipinskiHBA,lipinskiHBD,NumRotatableBonds,NumHBD,NumHBA,NumHeavyAtoms,NumAtoms,NumHeteroatoms,NumAmideBonds,FractionCSP3,NumRings,NumAromaticRings,NumAliphaticRings,NumSaturatedRings,NumHeterocycles,NumAromaticHeterocycles,NumSaturatedHeterocycles,NumAliphaticHeterocycles,NumSpiroAtoms,NumBridgeheadAtoms,NumAtomStereoCenters,NumUnspecifiedAtomStereoCenters,labuteASA,tpsa,CrippenClogP,CrippenMR,chi0v,chi1v,chi2v,chi3v,chi4v,chi0n,chi1n,chi2n,chi3n,chi4n,hallKierAlpha,kappa1,kappa2,kappa3,Phi
10,10,C,5462310,[C],4,12.011,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.739251027829551,0.0,0.08129,3.243,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,11,Ca(HCO3)2,10176262,C(=O)(O)[O-].C(=O)(O)[O-].[Ca+2],48,162.10999999999999,6.0,2.0,0.0,2.0,4.0,9.0,11.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.72577149985115,120.72000000000001,-2.6054000000000004,21.8036,6.442896300278019,1.2637101764276841,0.0,0.0,0.0,4.234527134041915,1.2637101764276841,0.0,0.0,0.0,-0.20025974025974014,15.915234638151631,10.721306190260716,6541.99084080631,18.959122627274095
12,12,MgO,14792,O=[Mg],8,40.304,1.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.452673222362797,17.07,-0.49960000000000004,6.440499999999999,2.5295686340235055,0.8660254037844387,0.0,0.0,0.0,1.1153550716504106,0.2886751345948129,0.0,0.0,0.0,0.5662337662337664,2.566233766233767,1.5662337662337678,0.33228881210532524,2.0096609883622896
13,13,Ni,935,[Ni],10,58.693,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.4152303796158,0.0,-0.0025,0.0,1.3038404810405297,0.0,0.0,0.0,0.0,0.31622776601683794,0.0,0.0,0.0,0.0,0.49350649350649345,1.4935064935064934,0.5198222829801779,4.5987696514012315,0.7763579551002656
14,14,Al2O3,9989226,[O-2].[O-2].[O-2].[Al+3].[Al+3],24,101.961,3.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.557764029120236,85.5,-1.118,13.567499999999999,4.688846486529344,0.0,0.0,0.0,0.0,2.379445409770841,0.0,0.0,0.0,0.0,0.9449350649350646,162.8037374988371,86.18593161923442,48.02950478755935,2806.2783574861132
15,15,ZrO2,62395,O=[Zr]=O,16,123.222,2.0,0.0,0.0,0.0,2.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.292544226742837,34.14,-0.2401,1.373,3.7745364724775343,2.4152294576982403,0.0,0.0,0.0,1.3164965809277263,0.4082482904638631,0.0,0.0,0.0,0.483116883116883,3.4831168831168835,2.483116883116883,2.4831168831168835,2.882995446112329
16,16,NiO,14805,O=[Ni],16,74.692,1.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.21721624293661,17.07,-0.1213,0.6865,1.7120887715043929,0.5322906474223772,0.0,0.0,0.0,0.724476056480701,0.12909944487358058,0.0,0.0,0.0,0.29350649350649344,2.2935064935064924,1.293506493506492,1.7005861395241932,1.4833327711249764
17,17,Cu,23978,[Cu],11,63.546,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.964098032124472,0.0,-0.0025,0.0,1.243163121016122,0.0,0.0,0.0,0.0,0.30151134457776363,0.0,0.0,0.0,0.0,0.5194805194805194,1.5194805194805197,0.4444805194805197,4.21948051948052,0.6753794906392313
18,18,Bi2O3,14776,O=[Bi]O[Bi]=O,28,465.957,3.0,0.0,2.0,0.0,3.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.34711598949038,43.370000000000005,-1.0676,13.966,9.073311619531022,6.40832791503889,5.1333333333333355,5.1333333333333355,1.047837278857249,2.119172062391505,0.7302967433402215,0.06666666666666668,0.06666666666666668,0.013608276348795438,1.326233766233766,6.326233766233766,5.326233766233766,5.326233766233769,6.7389999797605
19,19,Fe2O3,4413471,CCC1(CC2=CC=CC=C2C3=C1C(=O)N=C(N3)SCC)C,110,300.427,3.0,1.0,3.0,1.0,3.0,21.0,41.0,4.0,0.0,0.4117647058823529,3.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,128.76118906011,45.75,3.772700000000003,88.03870000000005,13.510928177673557,8.431959583554665,5.18660745998604,5.18660745998604,3.743449378024173,12.694431596745831,7.4463610239011775,4.431146147686745,4.431146147686745,3.148320441067966,-1.5499999999999998,14.389899261577582,5.335287546800695,2.313964747908847,3.6559166823814944
